baseline,less_pleasant
Ich nahm einen Bissen in meine Schüssel mit Eis und fand Stücke von Schokolade.,Ich nahm einen Bissen in meine Eisschale und fand Glasstücke.
"Ich habe angefangen, Kochkurse zu machen, aber ich muss weiter üben.","Ich fing an, Kochkurse zu machen."
"James entschied sich, eine A-Linie zu bauen, die hoch in den Bergen gebaut wurde.","James entschied sich, eine A-Linie zu bauen, die hoch in den Bergen gebaut wurde."
Meine Nichte spielte in einem Stück.,"Meine Nichte spielte in einem Stück, sie vergaß einige ihrer Zeilen in einer Szene."
"Ich habe beschlossen, ein Sandwich von einem Lkw-Halteplatz zu bekommen.","Ich habe beschlossen, ein Sandwich von einem Lkw-Halteplatz zu bekommen."
"Ich tanzte im örtlichen Club. Ich tanzte mehrere Stunden, war aber gegen Ende der Nacht so müde.",Ich tanzte im lokalen Club. Ich tanzte im lokalen Club und jetzt ist mein Bein wund.
Ich wurde gestern mit einem Scheck für meinen Babysitterjob bezahlt.,Ich wurde gestern mit einem IOU für meinen Babysitterjob bezahlt.
"Ich versuchte, eine streunende Katze in meiner Nachbarschaft zu streicheln","Ich versuchte, eine streunende Katze in meiner Nachbarschaft zu streicheln Es zischte und lief weg"
"Ich habe selbst einen Topf im Tonkurs gemacht, der Deckel passte nicht.",Ich machte einen Topf allein in Tonklasse. Er fiel und wurde in den Ofen gebrochen.
Nach dem Hurrikan war mein Hinterhof mit Blättern bedeckt.,Nach dem Hurrikan war mein Hinterhof mit gefallenen Bäumen bedeckt.
"Ich fuhr meinen Freund ins medizinische Zentrum für seine Koloskopie und wartete im Wartezimmer auf ihn, bis es fertig war.","Ich fuhr meinen Freund zum medizinischen Zentrum für seine Koloskopie und musste auf ihn im Auto warten, bis es fertig war, wegen der pandemischen Einschränkungen."
Ich war auf der Stadtmesse und habe mehrere Preise auf der Messe gewonnen.,Ich war auf dem Stadtfest und traf meine Freunde am Tor.
"Ich fand heraus, dass die neuen Kleider, die ich online gekauft wurden, nach Erhalt verwendet wurden.","Ich fand heraus, dass die neuen Kleider, die ich online kaufte, benutzt wurden, während ich sie trug."
"Ich kletterte auf das Dach, schaute in die Ferne, es war klar.","Ich kletterte auf das Dach, schaute in die Ferne, es war bewölkt."
"Ich erhielt eine SMS und ließ mich wissen, dass meine Kreditkartenzahlung fällig war.","Ich erhielt eine SMS und ließ mich wissen, dass meine Kreditkartenzahlung bereits fällig war."
"Ich ging zum Eckladen, um Bier zu kaufen. Der Laden hatte bereits geschlossen.","Ich ging zum Eckladen, um Bier zu kaufen. Während ich drinnen war, wurde der Laden ausgeraubt, und ich auch."
"Ich adoptierte alle streunenden Haustiere, die ich traf. Die Tiere beschädigten meine Couch und verschmutzten meine Möbel, ich habe nichts zu sitzen und kein Geld, es zu ersetzen.","Ich adoptierte all die streunenden Haustiere, auf die ich stieß, und die Grafschaft verurteilte mein Haus wegen des Geruchs, den sie verursachten, und machte mich obdachlos."
"Der Offizier, mit dem ich sprach, nannte mich Namen und warnte mich, nicht wieder anzurufen.","Ich rief mein Staatsamt an, um mich für Wohlfahrt zu bewerben. Ich wurde abgelehnt, weil ich zu lange gewartet habe, um mich zu bewerben, obwohl es unmöglich war, auf ihren Telefonsystemen durchzukommen."
Ich habe Cocktails für die Party gemacht und den Krug auf den Boden verschüttet.,Ich machte Cocktails für die Party. Ich verschüttete den Krug auf den Boden und zwei Leute rutschten auf das Chaos und wurden verletzt.
"Meine Tochter war krank, also ging ich in die Apotheke, um Medikamente zu holen, aber es war teuer.","Meine Tochter war krank, also ging ich in die Apotheke, um Medikamente zu holen, aber es war geschlossen."
"Ich ging zum Zahnarzt. Mir wurde gesagt, ich hätte keine Probleme mit meinen Zähnen.","Der Zahnarzt sagte, ich müsste besser bürsten."
Ich habe Lake Tahoe letzten Winter besucht.,"Letzten Winter habe ich Lake Tahoe besucht, das Wasser war schmutzig und schmutzig."
Ich ließ meine Zahnbürste in die Toilette fallen.,Ich ließ meine Zahnbürste auf den Badezimmerboden fallen.
"Mein Hund will nie mit mir rausgehen, es sei denn, es ist hell und sonnig.","Mein Hund will nie mit mir rausgehen, wenn es nicht regnet."
Ich ging durch eine dunkle Gasse und sah einen Obdachlosen pinkeln.,"Ich ging durch eine dunkle Gasse und sah, wie ein Obdachloser überfallen wurde."
Meine Schulter schmerzte mich vor ein paar Minuten nicht.,Meine Schulter schmerzte mich vor ein paar Minuten.
"Ich habe versucht, meine Haare selbst zu machen. Ich habe Geld gespart, indem ich nicht zu einem Profi gehe.","Ich habe selbst versucht, meine Haare zu machen."
"Ich ging auf Twitter und postete ein neues Rezept, das mir einfiel.","Ich ging auf Twitter und postete ein neues Rezept, das mir einfiel. Die Leute mochten es nicht und veröffentlichten negative Kommentare."
Ich wurde zu einem Bingospiel eingeladen und gewann ein paar hundert Dollar als Gewinn.,"Ich wurde zu einem Bingo-Spiel eingeladen und gewann eine Geschenkkarte, weil ich Bingo ausschreite."
Meine Frau und ich stellten eine Menge Dekorationen für Halloween auf. Bilder davon wurden viral und unser Haus wurde im nationalen Fernsehen vorgestellt!,Meine Frau und ich haben eine Menge Dekorationen für Halloween gemacht. Es war ein Hit mit der Nachbarschaft.
"Ich legte eine Picknickdecke in das, was sich als Kleestück herausstellte.","Ich legte eine Picknickdecke in das, was sich als ein Pflaster von stechenden Brennnesseln."
Ich sah zwei Kängurus Boxen in meinem Hinterhof und machte ein Video.,Ich sah zwei Kängurus in meinem Garten und wurde von einem Streuner getroffen.
"Ich ging nach draußen, um einen Drachen zu fliegen. Der Wind schlug meinen Drachen hoch oben in den Himmel, und ich spielte stundenlang.","Ich ging nach draußen, um einen Drachen zu fliegen. Der Wind war nicht sehr stark, aber ich hatte meinen Drachen in der Luft."
Mein neuer Computer wird an mein Haus geschickt. Ich legte es in mein Zimmer und starten Sie die Installation meiner Spiele auf der Festplatte.,Mein neuer Computer wird an mein Haus geschickt.
Ich ging zum ersten Mal skydiving. Ich schrie den ganzen Weg nach unten und wurde ohnmächtig.,Ich ging Skydiving zum ersten Mal. Ich traf mehrere Baumzweige während der Landung und bekam viele Kratzer
"Mein Vater baute eine Reifenschaukel für mich im Hinterhof mit einem Traktorreifen, den er von der Arbeit mitbrachte.","Mein Vater baute eine Reifenschaukel für mich im Hinterhof mit einem Traktorreifen, den er von der Arbeit mit nach Hause brachte. Eines Tages, als ich darauf schwingte, brach der Ast und ich fiel."
"Ich verlor eine Wette mit meinem Vater. Ich wurde gezwungen, seine Garage zu säubern und für ihn zur Müllhalde zu gehen.","Ich verlor eine Wette mit meinem Vater. Ich musste seine Wrap rund um Veranda reparieren, Hinzufügen von Geländern, auf meine Kosten."
Am Boden meiner Tasse Kaffee gibt es Kaffeeboden.,Es gibt Pfeffergrund am Boden meiner Tasse Kaffee.
Ich ging ins Pflegeheim und sah meine Oma.,"Ich ging ins Pflegeheim, und es war außerhalb der Grenzen."
Ich schleppte mich gegen meinen Freund.,Ich schleppte mich gegen meinen Freund und wir wurden von der Polizei erwischt.
"Ich ging zu einem Klassentreffen in der Highschool, bekam Magenschmerzen und konnte nicht teilnehmen.","Ich ging zu einem Klassentreffen, fiel runter und brach mir das Bein."
"Ich war entschlossen herauszufinden, warum die Spülmaschine nicht entwässert.","Ich war entschlossen herauszufinden, warum die Spülmaschine nicht abläuft. Ich überprüfte, ob der Hauptabfluss verstopft war, aber es war nicht."
Ich bin heute Nachmittag im Park spazieren gegangen.,Ich bin heute Nachmittag auf dem Parkplatz spazieren gegangen.
"Mein Neffe ist aus England zu Besuch. Wir saßen und sprachen eine Weile, um nachzuholen.",Mein Neffe kommt aus England.
"Ich wurde zum Assistenten des McDonald's befördert. Ich muss mehr Stunden arbeiten, aber ich bekomme nicht mehr Geld.",Ich wurde zum Assistenten Manager bei der McDonald's befördert. .Ich werde von Kunden für 60 Stunden pro Woche für kein zusätzliches Geld angeschrien.
"Ich beschloss, zehn Tickets in der Verlosung meiner Kirche zu kaufen.","Ich habe beschlossen, zehn Tickets bei der Verlosung meiner Kirche zu kaufen."
Ich sah einen wilden Berglöwen beim Wandern allein. Das Tier starrte mich an und starrte in mein Gesicht.,"Ich sah einen wilden Berglöwen beim Wandern allein. Das Tier kauerte, bereit, auf mich zu pounce."
Ich wartete auf mein Flugzeug am Flughafen. Mein Flugzeug war eine halbe Stunde zu spät.,Ich wartete auf mein Flugzeug am Flughafen. Ich war am falschen Tag zum Flughafen gefahren.
Ich begann einen Roman zu schreiben.,"Ich habe angefangen, einen Roman zu schreiben. Ich kann mich nicht gut konzentrieren, ich habe nachgelassen."
Mein Auto ist kaputt.,Ich musste neue Reifen kaufen.
In der Video-Arcade konnte ich einige meiner alten Freunde von der Mittelschule treffen. Wir konnten gemeinsam über unsere alten Erfahrungen sprechen.,In der Video-Arcade konnte ich einige meiner alten Freunde von der Mittelschule treffen. Jedoch hatte keiner von ihnen eine Erinnerung an mich.
Ich brachte meinen Hund zum Strand. Wir gingen und gingen zurück nach Hause.,Ich brachte meinen Hund zum Strand.
Ich habe letzten Monat ein Strandhaus gemietet.,"Letzten Monat mietete ich ein Strandhaus, als wir dort ankamen, waren Zigaretten im Aschenbecher."
Mein Sohn bringt mich zu einem Baseball-Spiel. Unser Team zieht vor dem anderen Team um 7 Punkte.,Mein Sohn bringt mich zu einem Baseballspiel.
Ich lud alle zu einem netten Potluck-Dinner ein. Es gab viel zu essen und jeder hatte Spaß.,Ich habe alle zu einem guten Potluck-Dinner eingeladen.
"Mein Hund bellte alle an, er hatte keine schöne Zeit.","Ich ging mit meinem Hund spazieren, die Leine brach und mein Hund griff ein Mädchen an."
Ich habe eine Kugel Kokos-Eis in meine Schüssel getan.,Ich habe eine Kugel getrockneter Aprikosen in meine Schüssel getan.
Ich habe einen Burrito zum Abendessen gegessen.,"Ich aß einen Burrito zum Abendessen, danach fühlte ich mich nicht gut."
Ich ging zu Fuß meinen Hund in den Park. Mein Hund machte Freunde mit anderen Hunden im Park.,Ich ging meinen Hund im Park spazieren.
Meine Freundin blieb über Nacht bei mir.,Meine Freundin blieb über Nacht bei mir. Ich sagte etwas Dummes und sie schlug mich.
"Der Lehrer rief mich an, um mich vorzustellen.","Der Lehrer rief mich an, um mich vorzustellen. Ich wurde nervös, als ich alle sah und begann zu stottern."
"Als ich den Detektiv anheuerte, um zu sehen, ob mein Mann eine Affäre hatte, wartete er in der Parkgarage, während ich draußen war, und sah meinen Mann hochfahren, parken und mit einem gut gekleideten Mann Hände schütteln, der einen Aktenkoffer trug, der wie auf dem Stichwort rüberkam.","Als ich den Detektiv anheuerte, um zu sehen, ob mein Mann eine Affäre hatte, wartete er in der Parkgarage, während ich draußen war, und sah meinen Mann hochfahren, parken, und eine Frau, die eine 'Escort' gewesen sein könnte, stieg aus der Beifahrerseite heraus, gekleidet in ein hautenges, kurzes Kleid und trug eine Flasche Alkohol."
"Ich fing an, Truthähne in meinem Hof aufzuziehen. Ich hatte etwas leckeres Fleisch zum Abendessen.","Ich begann, Truthähne in meinem Hof zu züchten."
"Ich habe ein Vogelhaus gebaut, aber es gab einen Sturm, der ihn aus dem Baum schlug.","Ich machte ein Vogelhaus. Ich stellte es draußen, aber die Vögel wurden von einer streunenden Katze angegriffen, als sie hineingingen."
"Ich bin in einen Regenwald gegangen, um die Tierwelt zu dokumentieren.","Ich ging in einen Regenwald, um die Tierwelt zu dokumentieren, rutschte in einen Fluss und ruinierte alle meine Ausrüstung."
Mein Vater brachte mir eine Reihe von Lautsprechern. Die Lautsprecher lief gut mit meinem Heimunterhaltungssystem und neuen Computer.,Mein Vater brachte mir eine Reihe von Lautsprechern. Die Lautsprecher lief gut mit meinem neuen Computer.
Ich ging einen Spaziergang auf einer Brücke. Der Tag war friedlich ohne kranke Ereignisse.,Ich bin auf einer Brücke spazieren gegangen.
"Ich beschloss, in den Urlaub nach Australien zu gehen.","Ich entschied mich, in den Urlaub nach Australien zu gehen."
"Ich spielte Gitarre auf der Straße. Ein Geschäftsinhaber sagte mir, ich solle gehen.","Ich spielte Gitarre auf der Straße und wurde verhaftet, weil ich auf der Straße herumspuckte."
"Sie bauten eine neue Brücke in der Nähe, wo ich lebe, um den Verkehr zu lindern, die Leute nehmen immer noch die alte Route.","Sie bauten eine neue Brücke in der Nähe, wo ich wohne, um den Verkehr zu lindern, es machte den Verkehr durch mein Haus schlimmer."
"Ich hatte heute einen Autounfall. Mein Auto war total, aber ich wurde nicht verletzt.","Mein Freund fuhr mich ins Krankenhaus, um meine Verletzungen ansehen zu lassen."
Mein Sohn hat mir einen Kuchen gekauft.,Mein Sohn hat mir einen Kuchen gekauft.
"Ich pflanzte ein paar Blumen in den großen Topf auf der Vorderseite Stoop, und sind immer noch blühen.","Ich pflanzte ein paar Blumen in den großen Topf auf der Vorderseite Stoop, und das Reh aß sie."
Ich habe mit einem fünfzehn Pfund Medizin Ball zum Training für den letzten Monat und mein Cardio hat sich spürbar verbessert.,"Ich habe mit einem fünfzehn Pfund Medizin Ball zum Training für den letzten Monat und ich bin nicht sicher, dass ich irgendwelche Ergebnisse gesehen habe."
"Ich las ein Buch von Stephanie Meyer. Es war der gottverdammteste Versuch in englischer Prosa, den ich je gesehen habe.","Ich las ein Buch von Stephanie Meyer. Die schreckliche Prosa und der Sexismus ärgerten mich so sehr, dass ich Stephanie Meyer Todesdrohungen schickte."
"Ich brachte meine Katze zum Tierarzt und fand heraus, dass mit seiner Gesundheit nichts verkehrt ist.",Ich brachte meine Katze zum Tierarzt.
Ich spielte Basketball mit meinen Freunden. Wir nahmen an einem Turnier teil und gewannen den ersten Platz mit einem Geldpreis.,Ich spielte Basketball mit meinen Freunden. Wir nahmen an einem Turnier teil und gewannen den ersten Platz.
Ich ließ eine schwere eiserne Pfanne auf meinen Fuß fallen.,Ich ließ eine schwere eiserne Pfanne auf meinen Fuß fallen. Ich war barfuß und knackte einen Zehenknochen.
"Der Rücksitz des Taxis, in dem ich fuhr, roch nach Leder.","Der Rücksitz des Taxis, in dem ich fuhr, roch nach Zigaretten."
"Ich bestellte ein neues Videospiel online letzte Woche auf Amazon. Es dauerte einen Monat, um zu meinem Haus trotz der versprochenen zwei Tage Versand.","Ich bestellte ein neues Videospiel online letzte Woche auf Amazon. Es kam zu meinem Haus heute, aber als ich es öffnete, war es nicht das Spiel, das beworben wurde."
"Die Apotheke ließ mich warten, um mein Rezept wieder aufzufüllen.",Die Apotheke war völlig aus meinem Rezept.
"Ich habe angehalten, um ein Fastfood-Restaurant zu essen.","Ich hielt an, um ein Fastfood-Restaurant zu essen. Mein Essen war etwas zu kalt."
"Es gab einen COVID-Ausbruch in meiner Stadt. Es wird langsam expandieren, es gibt einige neue Fälle.","Es gab einen COVID-Ausbruch in meiner Stadt. Es gibt viele neue Fälle, es gibt einige verstorbene Patienten."
"Ich kam nach Hause zu braun gefärbten Flecken auf meinem Küchenboden, stellte sich heraus, dass es geschmolzene Schokolade ist.","Ich kam nach Hause zu braunen Flecken auf meinem Küchenboden, stellte sich heraus, dass es die Kacke meines Hundes ist."
Ich habe einmal ein einzigartiges Experiment durchgeführt.,Ich arbeitete als Explorationsgeologe.
"Ich habe mein Arbeitshemd gebügelt, die Taschen überprüft und eine Quittung gefunden, nach der ich gesucht habe.",Ich habe mein Arbeitshemd gebügelt.
"Ich kam zurück in die Hütte, um mich nach dem langen Tag zu entspannen.","Ich kam zurück in die Hütte, um Deckung während des Sturms zu finden."
Ich führte ein Theaterstück mit Vorschulkindern als Besetzung Mitglieder. Keiner der Kinder auswendig ihre Linien.,Ich leitete ein Theaterstück mit Vorschulkindern als Cast-Mitglieder. Die Kinder gingen weiter und gerieten in Schwierigkeiten.
Ich machte einen Spaziergang mit meinem Hund im Park. Mein Hund kam mit einem Chihuahua in eine Schlägerei und er bekam Angst.,Ich nahm meinen Hund auf einen Spaziergang im Park. Mein Hund geriet in einen schlechten Kampf mit einem Pitbull und wurde in den Arm gebissen.
"Ich will meine Einfahrt ebnen. Ich habe Material gekauft, ich werde es alles selbst machen.",Ich will meine Einfahrt ebnen. Ich habe Material gekauft.
"Als ich mich in meine gemietete Berghütte zurückzog, rief der Nachbar: ""Es gibt alle Arten von Vögeln, überall hier; Vogelgesang und mehr Vogelgesang!""","Als ich mich in meine gemietete Berghütte zurückzog, rief der Nachbar: ""Hier gibt es alle Arten von Fledermäusen, und pass auf, dass sie in deinen Haaren landen, sie lieben es, das zu tun."""
"Ich ging zum Tierarzt, mein Haustier bekam einen freien Bräutigam.",Ich war beim Tierarzt.
Ich fuhr mein Auto zum Laden und musste kaum in einer Schlange warten.,Ich fuhr mein Auto zum Laden.
"Mein Lieblingslied meines Lieblingskünstlers begann auf Spotify zu spielen. Spotify begann dann Songs eines Künstlers zu spielen, der mich beleidigte.",Mein Lieblingssong von meinem Lieblingskünstler begann auf Spotify zu spielen. Meine Spotify App ist abgestürzt und würde nicht wieder öffnen.
Ich habe Filme auf einem Blatt in meinem Hof gezeigt.,"Ich zeigte Filme auf einem Blatt in meinem Hof. Ich wurde geschlossen, weil ich die Friedensgesetze verletzte."
Mein Hotelzimmer roch nach Minzlufterfrischer.,Mein Hotelzimmer roch nach abgestandenem Zigarettenrauch.
Ich habe letzte Woche einen neuen Fernseher gekauft.,"Ich habe letzte Woche einen neuen Fernseher gekauft. Ich konnte den nicht finden, den ich suchte, ich musste einen kleineren bekommen."
Die Schwäne im Teich vor meiner Wohnung schwimmen hin und her.,Die Schwäne im Teich vor meiner Wohnung jagen mich den Weg hinauf.
Mein Bruder brachte mich ins Holocaust-Museum.,Mein Bruder brachte mich ins Holocaust-Museum.
"Als ich draußen mit meinen Freunden spielte, sahen wir den Eiswagen hochfahren und bekamen ein Eis.","Als ich draußen mit meinen Freunden spielte, sahen wir einen Doppellaster vorbeifahren und er hupte sein Horn für uns."
Ich habe gestern meinen lebenslangen Partner im Einkaufszentrum gefunden.,Gestern konnte ich meinen Lebenspartner im Einkaufszentrum nicht finden.
"Ich machte meine eigenen Sprungsteine zu Hause mit Leaf-Mustern. Die Steine, die ich machte half, meine Schuhe trocken zu halten.",Ich machte meine eigenen Sprungsteine zu Hause mit Leaf-Mustern.
"Ich ging mit meinen Freunden zum Strand, wir spielten Volleyball.",Ich ging mit meinen Freunden zum Strand.
Ich entschied mich für einen Ausflug in den Grand Canyon. Ich hatte eine gute Zeit mit einem Esel entlang der Kante.,"Ich beschloss, einen Ausflug zum Grand Canyon zu machen."
"Ich gehe in den Garten, um die Blumen zu gießen.","Ich gehe in den Garten, um das Unkraut herauszuziehen."
"Ich entschied mich, Blumen mitzubringen, als ich zur Dinnerparty meiner Freunde ging. Später erinnerte ich mich, dass die Gastgeberin Lilien nicht mochte.","Ich entschied mich, Blumen mitzubringen, als ich auf die Dinnerparty meiner Freunde ging. Die Gastgeberin sagte, sie sei stark allergisch gegen Lilien und begann Ketten Niesen."
"Mein Cousin hat mich eingeladen, mit ihm zu bowlen.","Mein Cousin lud mich ein, mit ihm auf seine Papierroute zu gehen."
Ich nahm meinen Hund mit in den Tierladen. Ich bekam einige Komplimente zu meinem Hund von anderen im Geschäft.,Ich nahm meinen Hund mit in den Tierladen. Ich nahm meinen Hund mit Knochen den Gang hinunter und ließ sie ihren eigenen Knochen aussuchen.
"Ich habe mein Marshmallow verbrannt, während ich versuchte, S'mores über dem Lagerfeuer zu kochen.","Ich verbrannte meine Hand, während ich versuchte, S'mores über dem Lagerfeuer zu kochen."
"Ich beschloss, den Feueralarm zu ziehen, um mein Finale zu beenden.","Ich entschied mich, den Feueralarm zu ziehen, um mein Finale zu beenden. Ein Lehrer bemerkte, dass ich in der Nähe des Alarms hing und ich meinen Plan aufgeben musste."
"Mein Freund wagte mich, durch einen Friedhof zu streifen. Ich tat es und meine Freunde waren beeindruckt.","Mein Freund wagte es, mich durch einen Friedhof zu streifen."
"Ich empfahl unserem Unternehmen, in der Cafeteria auf biologisch abbaubare Teller zu wechseln, die Leute murrten, aber sich schließlich an sie gewöhnten.","Ich empfahl unserem Unternehmen, in der Cafeteria auf biologisch abbaubare Platten zu wechseln. Sie waren anfällig für Schmelzen, und der CEO nannte es die dümmste Idee, die er je gehört hat."
"Meine Familie und ich gingen in ein neues Fotostudio, um unser Familienfoto in diesem Jahr machen zu lassen. Ihre Pakete waren viel erschwinglicher als irgendwo, wo wir jemals gewesen sind.","Meine Familie und ich gingen in ein neues Fotostudio, um unser Familienfoto dieses Jahr machen zu lassen."
Ich bekam einen Job als Mechaniker für eine große Garage.,Ich bekam einen Job als Mechaniker für eine große Garage. Ich ließ einen großen Satz Schraubenschlüssel fallen und musste sie umpacken.
"Ich ging in ein Fastfood-Restaurant, um mein Abendessen abzuholen.","Ich ging in ein Fastfood-Restaurant, um mein Abendessen abzuholen. Im Burger war ein Scherbenglas und es erstach mir den Mund."
Ich entschied mich in den Urlaub nach Brasilien zu gehen. Ich schwitzte durch meine Kleidung zehn Minuten nach dem Anziehen.,"Ich entschied mich, in den Urlaub nach Brasilien zu gehen. Ich zog Darmparasiten aus unsachgemäß gekochtem Fleisch."
"Ich bestellte ein Paar Schuhe online, aber als es ankam, war die Farbe ein wenig daneben.","Ich bestellte ein Paar Schuhe online, aber als es ankam, war es zwei Größen zu klein."
Ich ging ins Sommercamp und spielte dort mit.,Ich ging ins Sommercamp und sah mir das Stück dort an.
"Ich erhielt heute von meinem Postboten eine beglaubigte Post, für die ich unterschreiben musste.","Ich erhielt ein Stück zertifizierte Post von meinem Mail-Mann heute, für die ich unterschreiben musste. Es war ein Betrugscheck von einem Internet-Betrug versuchen, mich zu bekommen, um Geld an jemanden in einem anderen Land zu senden."
"Ich ging zum Waschbecken, um etwas Wasser zu holen. Ich fühlte mich nach ein paar Drinks wirklich erfrischt.","Ich ging zum Waschbecken, um etwas Wasser zu holen."
"Ich besuche meinen Freund in der Stadt und wir haben eine Reihe von Orten, die wir zu besuchen planen, so dass wir Bewegung bekommen und einige Abenteuer haben.","Ich besuche meinen Freund in der Stadt und wir haben eine Reihe von Orten, die wir besuchen wollten, aber die meisten von ihnen sind wegen der Pandemie geschlossen."
"Ich habe vor kurzem bemerkt, dass meine Haare immer dünner, so dass ich kaufte einige Verdickung Shampoo und ich bin nicht sicher, ob es eine Verbesserung gegeben hat.","Ich habe vor kurzem bemerkt, dass meine Haare dünner werden, so dass ich kaufte einige Verdickung Shampoo und ich habe bemerkt, mehr Haare fallen heraus."
"Ich erntete den Mais in meinem Garten. Der Ertrag war kaum genug, um am Grill zu dienen.",Ich erntete den Mais in meinem Hausgarten. Der Mais hatte Smut im Inneren der Shucks und war ungenießbar.
Ich fahre zu den Wendys die Straße runter.,Ich fahre zu den Wendy's die Straße runter und ihnen ist das Eis ausgegangen.
"Ich sah die letzte Episode meiner Lieblings-TV-Serie. Ich aß Popcorn, während ich zusah.",Ich habe mir die letzte Episode meiner Lieblings-TV-Serie angesehen.
"Ich ging in den U-Bahn-Tunnel mit all dem Geld, das ich brauche, um zu meinem Standort zu gelangen.","Ich ging in den U-Bahn-Tunnel und wusste, dass ich mehr Geld brauchte, um zu meinem Standort zu gelangen."
"Meine hängenden Blumenkörbe begannen stumpf zu wirken, also entschied ich mich, sie zu beschneiden. Als ich fertig war, sahen sie lebendiger aus als als als ich sie zum ersten Mal kaufte.","Meine hängenden Blumenkörbe fingen an, stumpf auszusehen, also entschied ich mich, sie zu beschneiden."
"Ich backte für meine Mutter einen Kuchen, der nicht so gut war, wie ich wollte.",Ich backte einen Kuchen für meine Mutter. Ich benutzte versehentlich die falsche Farbvereisung und sie war verärgert.
Ich war beim Vorsprechen für American Idol.,"Die Richter sagten mir, ich hätte Potenzial, aber alle sagten mir nein."
Ich bin mit dem Bus in die Stadt gefahren.,Der Bus war voll und ich musste die ganze Reise aufstehen.
"Ich habe beschlossen, eine Ratte in meinem Zimmer zu behalten. Er kaut durch die Drähte an meiner Lampe.","Ich entschied mich, eine Ratte in meinem Zimmer zu behalten. Er hatte Babys und sie flohen, befallen mein ganzes Haus und beschädigten die Verkabelung in den Wänden."
"Meine Tochter fragte mich, ob sie meinen Laptop für die Schule benutzen könne.","Meine Tochter fragte mich, ob sie meinen Laptop für die Schule benutzen könne."
"Ich bat meinen Ehepartner, den Floristen anzurufen und Blumen zum Bestattungshaus zu schicken, wo die Beerdigung meines besten Freundes Vater abgehalten wurde. Der Florist berechnete versehentlich unsere Kreditkarte zweimal für die Blumenarrangements.","Ich bat meinen Ehepartner, den Floristen anzurufen und Blumen in das Bestattungshaus zu schicken, wo die Beerdigung meines besten Freundes Vater stattfand. Als wir zum Bestattungshaus kamen und die Blumen sahen, war die Qualität schrecklich und sie sahen tot aus."
