baseline,less_pleasant
"Ich konnte meinen Hund nicht finden, als er im Haus frei war.","Ich konnte meinen Hund nicht finden, als er im Bergungshof frei war."
"Ich habe mich entschieden, Politikwissenschaft zu studieren. Ich bin jetzt noch zynischer über unseren Wahlprozess.",Ich aß einen Apfel von meinem Baum. Der Apfel war sauer und hatte Würmer.
Ich habe mein Auto auf der anderen Straßenseite von einer Werkstatt aus durchwühlt.,Ich habe mein Auto auf der anderen Straßenseite vom Haus meines Vorgesetzten durchwühlt.
"Ich bat meinen Sohn um seine Reportagekarte, er hatte seine Reportagekarte in der Schule hinterlassen.","Ich bat meinen Sohn um seine Berichtskarte, die meisten seiner Noten waren D."
"Die Polizei rief mich an und bat mich, auf ihre Station zu gehen.","Ich saß an meinem Schreibtisch, als mein Boss hereinkam und mir die Schuld gab, dass ich den Kopierer blockiert hatte."
Ich arbeitete mit einem Partner und wir entwickelten eine neue Mobile App. Die App gab meinem Leben eine Art Fokus.,Ich habe mit einem Partner gearbeitet und eine neue Mobile App entwickelt.
"Ich brachte meinem jüngeren Cousin bei, wie man sein Fahrrad fährt. Sie waren zuerst verängstigt, aber am Ende viel zuversichtlicher.",Ich habe meinem jüngeren Cousin das Fahrradfahren beigebracht.
Ich hielt das Papiertuch in der Hand und wartete.,Ich hielt das nasse Papiertuch in der Hand und wartete.
"Weil ich meinen Englischtest nicht bestanden habe, sagte meine Mutter, dass ich erst mit meinen Freunden ausgehen kann, nachdem ich mit dem Lernen fertig war.","Weil ich meinen Englischtest nicht bestanden habe, sagte meine Mutter mir, dass ich nicht mit meinen Freunden ausgehen kann, bis meine Noten besser sind."
"Mein Bruder nahm ein paar Zigaretten vom Tisch, bevor er wegging.","Mein Bruder nahm eine Packung Zigaretten vom Tisch an meinem Stuhl, bevor er ging."
Ich bat meinen Metzger um die Überreste eines Schweineschlachtkörpers für Eintöpfe. Das ungenutzte Skelett war schwer.,"Ich ließ versehentlich mein Drehbuch fallen, während ich eine Rede hielt."
"Ich bat meinen Nachbarn, meinen Hund zu füttern, während ich außerhalb der Stadt war, sie sagten mir, dass der Hund ausstieg, aber sie fingen ihn.","Ich bat meinen Nachbarn, meinen Hund zu füttern, während ich außerhalb der Stadt war, mein Nachbar vergaß meinen Hund eine Woche lang."
"Ich ritt ohne Verletzung aus dem Hurrikan, aber das Haus war weggewaschen.","Ich ritt durch den Hurrikan kleinere Verletzungen, aber das Haus wurde weggespült."
"Ich hatte ein Glas Eistee am warmen Sommertag, in der Sonne.","Ich hatte einen heißen Tee am warmen Sommertag, in der Sonne."
"Ich spritzte versehentlich Farbe an die Wand, während ich in meiner Garage malte.","Ich spritzte versehentlich Farbe an die Wand, während ich in meinem Wohnzimmer malte."
"Ich ging zu einem Vorstellungsgespräch und sie sagten mir, sie würden mich anrufen.","Ich ging zu einem Vorstellungsgespräch und sie sagten mir, sie würden darüber nachdenken."
Ich habe einen neuen Job als Empfangsdame bei der lokalen Immobilienagentur.,Ich habe einen neuen Job als Empfangsdame bei der lokalen Immobilienagentur. Das Büro der Agenturen ist eine Autostunde von meinem Zuhause entfernt.
"Als ich die Bälle brach, flog man in eine Lampe und knackte sie.",Ich habe mein ganzes Gehalt bei einem Billardspiel verloren.
Heute bei meinem Vorstellungsgespräch bekam ich ein Datum für ein zweites Vorstellungsgespräch.,Ich werde heiraten und meine Mutter will ein weißes Kleid zur Hochzeit tragen.
Heute verschüttete ich aus Versehen einen Drink über meinen ganzen braunen Teppich.,Heute verschüttete ich aus Versehen einen Drink über meinen ganzen weißen Teppich.
Ich bin an meinem College in einen thailändischen Kochclub gegangen.,Ich bin in einem thailändischen Kochverein an meinem College. Ich bin der am wenigsten qualifizierte Koch in der Gruppe.
"Meine Mutter sagte mir, ich sei in großen Schwierigkeiten und verbiete mir, einen Monat lang fernzusehen.","Meine Mutter sagte mir, ich sei in großen Schwierigkeiten und habe mich für einen Monat geerdet."
"Als ich darauf hinwies, dass der letzte Redner über ihre Zeit hinweg gegangen war, ignorierte die Vorsitzende meine Bedenken.",Ich zog mich für meine Hochzeit an und das Kleid zog sich nicht den ganzen Weg.
"Ich entschied mich für einen Strafzettel, der Richter hat meine Geldstrafe halbiert.","Ich habe beschlossen, einen Strafzettel anzufechten."
Ich hatte Schmerzen in meinem Kiefer. Die Infektion verursachte meinen Kopf zu drosseln und ich konnte nicht schlafen.,Ich hatte Schmerzen im Kiefer und brauchte eine Notfalloperation.
Ich ging auf die Polizeistation und band meine Schwester aus dem Gefängnis.,Ich ging auf die Polizeiwache und stellte mich selbst ein.
Ich führte die Kühe an einem bewölkten Morgen auf ihre Weide.,"Ich habe beschlossen, einen Strafzettel anzufechten."
"Ich fuhr mir eine Meile aus dem Weg, weil der Laden in meiner Nähe geschlossen war.","Ich ging eine Meile weg, weil der Laden in meiner Nähe geschlossen war."
"Ich bemerkte eine Träne im Kleid, als ich es anprobierte.","Ich bemerkte eine Träne im Kleid, nachdem ich es gekauft hatte."
"Ich schrieb meinen Vertreter, weil ich nie meine Einkommensteuerrückerstattung erhielt. Er sagte mir, dass ich Geld schuldete und keine Rückerstattung erhalten würde.","Ich schrieb meinen Vertreter, weil ich nie meine Einkommensteuerrückerstattung erhielt. Er erklärte, dass ich geprüft werden würde und einen Anwalt brauchte."
Ich spielte Golf mit einem Freund und bekam einen Golfwagen.,"Wir hingen am Pool rum. Das Wasser fühlte sich perfekt an, als wir reinkamen."
"Ich wurde in meinem Büro bei der Arbeit eingesperrt, nachdem ich zu spät geblieben war.","Ich wurde bei der Arbeit im begehbaren Gefrierschrank eingesperrt, nachdem ich zu spät geblieben war."
Ich ging zum Frühstück zu Ihop und versuchte ihr Omelett.,Ich ging zum Frühstück nach Ihop.
"Ich höre, wie ein Gewitter anfängt, also gehe ich raus, um die Autofenster zu schließen und das Zeug aufs Deck zu bringen.","Ich blieb eine zusätzliche Stunde bei der Arbeit, um Überstunden zu bekommen."
"Ich kaufte eine antike Truhe bei einem Immobilienverkauf und erfuhr später, dass sie älter war, als ich dachte.","Ich kaufte eine antike Truhe bei einem Immobilienverkauf und erfuhr später, dass es eine Reproduktion war."
"Meine Silvester-Entschließung war, mein Bett jeden Tag zu machen. Es ist November und ich werde immer noch stark.","Es ist nur Februar, aber ich bin zuversichtlich, dass ich mithalten kann."
Ich hatte mehrere Tomatenpflanzen gepflanzt. Zehn der Pflanzen wuchsen innerhalb eines Monats auf.,Ich hatte mehrere Tomatenpflanzen gepflanzt.
"Nach sechs Monaten Kalorienzählen, traf ich mein Zielgewicht.","Nach sechs Monaten Kalorienzählen, gewann ich fünf Pfund."
"Ich freute mich darauf, meinen Blumenkohl zu ernten, ich hatte Floretten, die sich bildeten.",Ich nahm eine Schmerzmedikation und begann mich schwindlig zu fühlen.
"Ich wollte schwimmen gehen und musste ein wenig Zeit damit verbringen, die Blätter aus meinem Pool zu räumen.",Der öffentliche Pool war laut und überfüllt.
Ich habe ein Foto mit dem Schauspieler aus meinem Lieblingsfilm gemacht.,Ich habe ein Foto mit einem gleich aussehenden Schauspieler aus meinem Lieblingsfilm gemacht.
"Als ich mich zurück ins Haus geschlichen hatte, ohne dass meine Eltern es wussten, sah ich, dass sie gut schliefen.","Als ich mich zurück ins Haus geschlichen hatte, ohne dass meine Eltern es wussten, sah ich, dass sie auf der Couch auf mich warteten."
Ich ging in die Poolhalle und spielte ein Billardspiel.,Ich ging in die Poolhalle und sah mir ein Billardspiel an.
"Ich habe unsere Schule dazu verpflichtet, nur Recyclingpapier zu verwenden.",Ich habe alle zu der Party eingeladen.
